variant,seed,fusion_weight,training_seconds,inference_ms_per_flow,input_features,hierarchy_features,accuracy,precision_macro,recall_macro,f1_macro
Global-FULL,5,,1.6372269198764116,0.06169083318673074,70,70,0.951,0.9518540664655563,0.951,0.9511356552275657
DPF-FULL-NoJSD,5,1.0,1.6372269198764116,0.06169083318673074,70,70,0.951,0.9518540664655563,0.951,0.9511356552275657
HardHierarchy-FULL,5,,1.6372269198764116,0.06169083318673074,70,70,0.9394,0.9400764698087365,0.9394,0.939584228783457
Hierarchical-PT,5,,1.6598126939497888,0.06362393279559911,51,51,0.9418,0.9423036068612815,0.9418,0.9419123360312417
Global-PT,5,,1.6598126939497888,0.06362393279559911,51,51,0.9504,0.9510449690820945,0.9503999999999999,0.9505339919657569
DPF-PT,5,1.0,1.6598126939497888,0.06362393279559911,51,51,0.9504,0.9510449690820945,0.9503999999999999,0.9505339919657569
HardHierarchy-PT,5,,1.6598126939497888,0.06362393279559911,51,51,0.9408,0.9415094783684312,0.9408,0.9410085271508688
Hierarchical-AS,5,,2.05618587997742,0.06499456143938005,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,5,,2.05618587997742,0.06499456143938005,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,5,0.0,2.05618587997742,0.06499456143938005,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,5,,2.05618587997742,0.06499456143938005,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,6,,1.748046337859705,0.05928007839247584,70,64,0.9428,0.9432229927073571,0.9427999999999999,0.9428825354887518
Global-FULL,6,,1.748046337859705,0.05928007839247584,70,64,0.9506,0.9512637650298614,0.9506,0.9507305051718598
DPF-FULL,6,1.0,1.748046337859705,0.05928007839247584,70,64,0.9506,0.9512637650298614,0.9506,0.9507305051718598
HardHierarchy-FULL,6,,1.748046337859705,0.05928007839247584,70,64,0.9426,0.9431319118125085,0.9425999999999999,0.9427294728660651
Hierarchical-FULL,6,,1.595738026080653,0.06690911799669266,70,70,0.9382,0.9385268698053066,0.9381999999999999,0.9382866858572154
Global-FULL,6,,1.595738026080653,0.06690911799669266,70,70,0.9506,0.9512637650298614,0.9506,0.9507305051718598
DPF-FULL-NoJSD,6,1.0,1.595738026080653,0.06690911799669266,70,70,0.9506,0.9512637650298614,0.9506,0.9507305051718598
HardHierarchy-FULL,6,,1.595738026080653,0.06690911799669266,70,70,0.9378,0.9383160092764161,0.9378,0.9379691413522556
Hierarchical-PT,6,,1.7259241850115359,0.06690539922565222,51,51,0.941,0.9413839513530228,0.9410000000000001,0.9411028154425741
Global-PT,6,,1.7259241850115359,0.06690539922565222,51,51,0.9504,0.9509104709969278,0.9504000000000001,0.9504840610350691
DPF-PT,6,1.0,1.7259241850115359,0.06690539922565222,51,51,0.9504,0.9509104709969278,0.9504000000000001,0.9504840610350691
HardHierarchy-PT,6,,1.7259241850115359,0.06690539922565222,51,51,0.9412,0.9416520784353274,0.9412,0.9413405305530933
Hierarchical-AS,6,,1.9632935929112136,0.0635903415735811,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,6,,1.9632935929112136,0.0635903415735811,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,6,0.0,1.9632935929112136,0.0635903415735811,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,6,,1.9632935929112136,0.0635903415735811,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,7,,1.8281543632037938,0.06395253739319742,70,64,0.9408,0.9413766885314508,0.9408,0.9409362488692693
Global-FULL,7,,1.8281543632037938,0.06395253739319742,70,64,0.95,0.9506346577849092,0.95,0.9501073446899062
DPF-FULL,7,1.0,1.8281543632037938,0.06395253739319742,70,64,0.95,0.9506346577849092,0.95,0.9501073446899062
HardHierarchy-FULL,7,,1.8281543632037938,0.06395253739319742,70,64,0.94,0.9407383670773747,0.9400000000000001,0.9402075347244784
